subject,stimulus_id,prog_item,room_size,absorption,rt_ratio,loop_gain_dB,filter,routing,is_familiarisation,is_repeated,is_src_to_rec,rating,colouration,flutter_echo,asymmetry,curvature,hf_damping,is_box_behnken,zscore
1,216,2,3,1,1,-4,LPF,All LS,0,0,0,5,0.22095643001782905,0.2514560489422376,0.15590342583599343,0.24933704782356958,0.2910021466674666,1,-1.3950553986336183
1,196,2,3,3,3,-4,Normal,Right Wall,0,0,0,4,0.20564758839279465,0.36046802291555197,0.3473962142957601,0.5012237095940368,0.29688631868173887,0,-1.429067972207116
1,16,2,3,1,1,-4,High Shelf,All LS,0,0,0,20,0.2509263708930214,0.15263907359715906,0.09492323213056698,0.32706422504955557,0.46379987420262814,1,-0.8848667950311534
1,5,2,2,1,1,-8,Normal,Single LS (left),0,0,0,32,0.3169556944877924,0.5911334661243823,0.2870647672496384,0.19387998095545467,0.10956542287575592,1,-0.4767159121491816
1,164,1,3,2,0,-8,LPF,Right Wall,0,0,0,34,0.2398660629372393,0.5397658168198447,0.514219049097534,0.18955242795616345,0.3816622071368526,0,-0.40869076500218626
1,107,1,2,3,0,-8,Normal,All LS,0,0,0,58,0.20496565241616338,0.7188347094742102,0.5009754064920188,0.4314498430667927,0.41355518494103105,1,0.4076110007617575
1,119,1,1,2,1,-4,LPF,Single LS (left),0,0,0,87,0.20690012695000423,0.7010472009444481,0.6291353760900361,0.25562926289931664,0.7351563279200128,0,1.3939756343931895
1,40,1,3,1,3,-1,Normal,Right Wall,0,0,0,34,0.8006741486484596,-0.1384362427376374,0.5916708453322715,0.6896546728898492,0.2826017211786554,0,-0.40869076500218626
1,92,1,1,2,0,-4,Normal,Single LS (left),0,0,0,85,0.24968808874466988,0.6527499426895864,0.527898176864254,0.2366619901621133,0.656819653928164,1,1.3259504872461942
1,23,1,3,3,1,-4,LPF,All LS,0,0,0,94,0.20331049544731064,0.45793761498509206,0.2837548730281384,0.19654677934760434,0.2921752104937179,1,1.6320636494076732
1,95,1,2,2,1,-4,High Shelf,All LS,0,0,0,72,0.25821072312194193,0.7022207430419863,0.309592658377175,0.3858935496820649,0.6858867337463432,0,0.8837870307907247
1,102,2,3,2,0,-4,Normal,Right Wall,0,0,0,19,0.2316972187656896,0.5599175365721948,0.46454178312288735,0.20582541443761093,0.436725510202599,1,-0.9188793686046511
